,name,height,weight,position,games_played,games_started,min_per,field_goal,field_attmps,field_pct,two_pointer,two_pattamps,two_pct,three_ptrs,three_pattmp,three_pct,free_throws,free_attmps,free_pct,assists,steals,blocks,points,off_reb,def_reb,total_reb,turnovers,drafted,position_Center,position_Forward,position_Guard
768,James Anderson,78,210,Guard,101,99,32.8,5.8,12.6,0.46,3.5,6.6,0.536,2.2,5.9,0.46,4.2,5.2,0.797,1.6,1.1,0.6,17.9,1.9,3.1,5.1,2.1,1,0,0,1
781,Justin Anderson,78,227,Guard,98,44,24.1,2.9,6.8,0.43,1.9,4.1,0.481,1.0,2.8,0.43,2.0,2.7,0.752,1.8,0.6,0.9,8.9,0.8,2.7,3.5,1.3,1,0,0,1
792,Kyle Anderson,75,195,Guard,122,119,33.2,3.6,9.4,0.378,1.4,3.0,0.446,2.2,6.4,0.378,1.3,1.6,0.773,1.1,0.7,0.3,10.6,0.7,2.6,3.4,1.2,1,0,0,1
793,Kyle Anderson,81,230,Guard,71,70,31.6,4.3,9.4,0.452,3.8,8.1,0.465,0.5,1.4,0.452,3.1,4.3,0.736,5.0,1.8,0.8,12.2,1.7,7.0,8.7,2.6,1,0,0,1
818,Ryan Anderson,81,216,Forward,66,66,33.0,6.3,13.1,0.484,4.5,8.5,0.532,1.8,4.7,0.484,4.2,5.0,0.841,1.0,0.5,0.5,18.7,2.7,6.3,9.0,1.8,1,0,1,0
819,Ryan Anderson,76,205,Guard,122,101,26.8,3.2,7.3,0.439,1.7,3.4,0.49,1.5,3.9,0.439,1.3,1.7,0.7509999999999999,1.9,1.4,0.1,9.2,1.0,3.8,4.8,1.5,1,0,0,1
820,Ryan Anderson,81,216,Forward,128,124,30.5,4.9,10.1,0.486,4.7,9.2,0.509,0.3,0.9,0.486,3.9,5.5,0.701,1.2,0.6,0.6,14.0,2.4,5.8,8.2,1.8,1,0,1,0
897,Ike Anigbogu,82,250,Forward,29,0,13.0,2.0,3.5,0.564,2.0,3.5,0.564,0.0,0.0,0.564,0.8,1.5,0.535,0.2,0.2,1.2,4.7,1.4,2.6,4.0,0.8,1,0,1,0
915,Joel Anthony,81,245,Center,68,9,16.1,1.5,2.6,0.573,1.5,2.6,0.573,0.0,0.0,0.573,0.7,1.2,0.561,0.3,0.4,2.3,3.7,1.5,2.0,3.5,0.6,1,1,0,0
934,OG Anunoby,80,215,Forward,50,10,17.4,2.7,4.8,0.563,2.1,3.3,0.652,0.5,1.5,0.563,0.9,1.8,0.522,0.8,1.0,0.9,6.8,1.4,2.1,3.5,1.1,1,0,1,0
957,Keith Appling,73,185,Guard,142,124,29.8,3.5,8.0,0.431,2.5,5.1,0.486,1.0,2.9,0.431,2.7,3.7,0.748,3.3,1.1,0.5,10.6,0.4,2.6,3.0,2.1,1,0,0,1
963,Rafael Araujo,83,280,Center,62,62,27.4,5.9,10.4,0.5670000000000001,5.7,9.8,0.5870000000000001,0.2,0.7,0.5670000000000001,3.1,4.5,0.691,1.2,1.4,0.6,15.1,2.9,6.6,9.5,2.9,1,1,0,0
980,Ryan Arcidiacono,75,195,Guard,144,142,31.9,3.4,8.5,0.397,1.6,3.5,0.453,1.8,5.1,0.397,2.6,3.2,0.8,3.7,1.2,0.0,11.1,0.3,2.0,2.3,1.8,1,0,0,1
995,Trevor Ariza,80,200,Forward,25,23,31.6,4.3,10.0,0.426,3.6,7.0,0.509,0.7,3.0,0.426,2.3,4.5,0.504,2.1,1.7,0.4,11.6,2.4,4.0,6.5,3.2,1,0,1,0
1009,Brandon Armstrong,77,220,Guard,97,8,15.1,1.6,4.2,0.378,0.7,1.7,0.414,0.9,2.4,0.378,0.8,1.1,0.74,0.5,0.2,0.0,4.8,0.2,1.4,1.6,0.3,1,0,0,1
1013,Hilton Armstrong,83,235,Center,131,56,15.1,1.7,3.1,0.563,1.7,3.1,0.565,0.0,0.0,0.563,1.2,2.1,0.578,0.6,0.3,1.5,4.7,1.3,2.6,3.9,1.2,1,1,0,0
1061,Darrell Arthur,81,225,Forward,78,46,21.9,4.7,8.7,0.541,4.7,8.5,0.552,0.0,0.2,0.541,1.8,2.7,0.6759999999999999,0.6,0.7,1.4,11.3,2.2,3.3,5.5,1.6,1,0,1,0
1065,Jamel Artis,79,220,Forward,135,98,27.6,4.3,9.1,0.47,3.0,5.8,0.524,1.3,3.3,0.47,2.7,3.6,0.759,2.3,0.5,0.3,12.6,1.4,3.3,4.6,1.9,1,0,1,0
1159,D.J. Augustin,72,180,Guard,73,73,36.5,5.4,12.2,0.443,3.8,8.2,0.463,1.6,4.1,0.443,4.4,5.5,0.8079999999999999,6.2,1.4,0.0,16.9,0.6,2.3,2.9,3.0,1,0,0,1
1161,James Augustine,82,235,Forward,137,134,27.1,3.9,6.3,0.617,3.9,6.2,0.623,0.0,0.1,0.617,2.3,3.3,0.687,1.1,1.0,1.0,10.1,2.6,4.9,7.5,1.5,1,0,1,0
1261,Jeff Ayres,82,240,Forward,126,120,30.2,4.8,8.4,0.58,4.8,8.3,0.585,0.0,0.1,0.58,2.9,3.8,0.764,0.8,0.5,1.0,12.6,2.7,4.8,7.5,1.8,1,0,1,0
1269,Kelenna Azubuike,77,220,Guard,97,65,22.4,3.6,7.5,0.485,2.7,4.9,0.545,1.0,2.6,0.485,1.7,2.3,0.752,1.0,0.7,0.3,10.0,1.5,2.3,3.7,1.3,1,0,0,1
1279,Chris Babb,77,225,Guard,130,90,26.5,2.3,6.2,0.377,0.6,1.5,0.434,1.7,4.7,0.377,0.9,1.2,0.733,1.7,0.8,0.2,7.2,0.7,2.3,3.0,0.8,1,0,0,1
1281,Luke Babbitt,81,225,Forward,68,68,34.9,6.5,13.6,0.48,5.4,11.0,0.494,1.1,2.6,0.48,5.2,5.8,0.893,1.8,0.9,0.8,19.4,2.0,6.2,8.1,2.1,1,0,1,0
1293,Dwayne Bacon,79,210,Guard,69,67,28.8,6.1,13.5,0.449,4.8,9.3,0.51,1.3,4.1,0.449,3.1,4.2,0.733,1.6,1.0,0.1,16.5,1.2,3.8,5.0,2.1,1,0,0,1
1384,Cameron Bairstow,81,250,Forward,134,55,20.8,3.1,6.0,0.517,3.1,6.0,0.519,0.0,0.0,0.517,3.0,4.2,0.7170000000000001,0.8,0.5,0.7,9.2,1.7,3.0,4.8,1.2,1,0,1,0
1427,Maurice Baker,73,175,Guard,59,53,33.7,5.6,11.7,0.481,3.8,7.1,0.539,1.8,4.6,0.481,3.3,4.0,0.8190000000000001,3.8,1.7,0.2,16.4,2.4,3.7,6.1,3.5,1,0,0,1
1436,Ron Baker,76,220,Guard,124,121,30.6,4.2,9.7,0.433,2.3,4.4,0.509,2.0,5.3,0.433,2.8,3.5,0.8009999999999999,2.8,1.3,0.6,13.2,0.8,3.4,4.2,1.4,1,0,0,1
1464,Wade Baldwin,75,195,Guard,68,54,29.6,3.4,8.0,0.431,2.2,5.1,0.436,1.2,2.9,0.431,3.5,4.4,0.8,4.8,1.3,0.2,11.6,0.4,3.6,4.1,2.3,1,0,0,1
1469,Renaldo Balkman,80,208,Forward,104,40,21.1,3.0,5.5,0.5529999999999999,2.9,5.0,0.581,0.2,0.5,0.5529999999999999,1.2,2.2,0.5329999999999999,1.7,1.2,1.1,7.4,2.1,3.2,5.3,1.7,1,0,1,0
1476,Lonzo Ball,78,190,Guard,36,36,35.1,5.3,9.5,0.551,3.0,4.1,0.732,2.2,5.4,0.551,1.8,2.7,0.6729999999999999,7.6,1.8,0.8,14.6,0.9,5.1,6.0,2.5,1,0,0,1
1546,Marcus Banks,74,200,Guard,63,63,34.3,6.0,12.2,0.495,5.0,9.1,0.551,1.0,3.1,0.495,5.0,6.8,0.731,4.3,2.5,0.2,18.1,0.8,2.6,3.3,3.6,1,0,0,1
1604,J.J. Barea,72,175,Guard,113,112,33.3,6.9,17.1,0.404,4.6,10.1,0.461,2.3,7.0,0.404,4.2,5.5,0.764,6.4,1.6,0.0,20.3,0.8,3.0,3.9,3.8,1,0,0,1
1671,Harrison Barnes,80,215,Forward,75,73,29.3,5.8,13.6,0.43,4.3,9.1,0.469,1.5,4.4,0.43,3.1,4.3,0.7340000000000001,1.3,0.9,0.4,16.3,2.0,3.5,5.5,1.9,1,0,1,0
1729,Andre Barrett,70,172,Guard,122,122,35.2,5.1,12.4,0.415,3.1,6.7,0.469,2.0,5.7,0.415,3.0,3.9,0.773,5.4,1.4,0.1,15.3,0.9,2.8,3.7,2.9,1,0,0,1
1775,Will Barton,78,175,Guard,70,59,32.9,5.7,12.0,0.471,4.6,8.4,0.546,1.1,3.6,0.471,2.7,3.7,0.733,2.9,1.5,0.6,15.2,1.7,4.8,6.5,2.3,1,0,0,1
1783,Eddie Basden,77,215,Guard,118,79,27.2,3.1,6.3,0.491,2.7,5.3,0.518,0.4,1.0,0.491,2.5,3.6,0.687,2.7,2.2,0.2,9.0,2.4,4.1,6.5,2.1,1,0,0,1
1797,Brandon Bass,80,240,Forward,59,58,34.2,5.1,9.5,0.54,4.8,8.7,0.5539999999999999,0.3,0.8,0.54,4.6,5.8,0.78,0.7,0.8,1.8,15.1,2.6,5.6,8.2,1.8,1,0,1,0
1899,Jerryd Bayless,75,200,Guard,30,30,35.7,5.8,12.6,0.458,3.8,7.8,0.489,2.0,4.8,0.458,6.2,7.4,0.8390000000000001,4.0,1.0,0.1,19.7,0.4,2.3,2.7,3.0,1,0,0,1
1902,Aron Baynes,82,250,Center,122,86,22.0,3.2,5.9,0.546,3.2,5.9,0.547,0.0,0.0,0.546,2.3,3.2,0.698,0.3,0.3,0.8,8.7,1.7,3.6,5.4,1.2,1,1,0,0
1905,Kent Bazemore,77,195,Guard,140,103,26.3,3.7,8.3,0.447,3.0,6.1,0.486,0.7,2.1,0.447,2.0,3.5,0.581,2.7,1.8,0.5,10.1,1.4,3.2,4.6,2.3,1,0,0,1
1914,Bradley Beal,75,207,Guard,37,37,34.2,4.7,10.6,0.445,3.0,5.6,0.541,1.7,5.0,0.445,3.6,4.7,0.769,2.2,1.4,0.8,14.8,1.4,5.4,6.7,2.1,1,0,0,1
1938,Malik Beasley,77,190,Guard,34,33,29.8,5.4,11.6,0.471,3.8,7.4,0.518,1.6,4.2,0.471,3.1,3.8,0.813,1.5,0.9,0.2,15.6,1.3,4.0,5.3,1.7,1,0,0,1
1939,Michael Beasley,81,235,Forward,33,33,31.5,9.3,17.5,0.532,8.2,14.6,0.562,1.1,2.9,0.532,6.5,8.5,0.774,1.2,1.3,1.6,26.2,4.0,8.4,12.4,2.9,1,0,1,0
2041,Charlie Bell,76,205,Guard,88,42,23.3,2.8,7.8,0.35700000000000004,1.7,4.4,0.386,1.1,3.3,0.35700000000000004,3.3,4.2,0.769,1.6,0.9,0.1,9.9,0.6,3.2,3.6,2.6,1,0,0,1
2060,Jordan Bell,79,190,Forward,105,62,24.7,3.3,5.4,0.61,3.3,5.2,0.622,0.0,0.2,0.61,1.2,1.8,0.63,1.5,1.1,2.2,7.8,2.1,4.7,6.8,1.5,1,0,1,0
2061,Jordan Bell,80,231,Forward,58,1,10.1,1.3,3.1,0.4270000000000001,1.1,2.2,0.496,0.2,0.9,0.4270000000000001,0.5,0.6,0.73,0.5,0.3,0.4,3.3,0.7,1.8,2.4,0.7,1,0,1,0
2127,Jerrelle Benimon,80,245,Forward,128,67,24.2,3.5,6.6,0.522,3.2,5.8,0.551,0.3,0.9,0.522,2.9,4.2,0.6859999999999999,1.8,0.5,1.0,10.1,1.8,5.0,6.8,2.3,1,0,1,0
2146,Anthony Bennett,80,240,Forward,35,31,27.1,5.8,10.8,0.5329999999999999,4.7,8.1,0.5870000000000001,1.0,2.7,0.5329999999999999,3.5,5.1,0.701,1.0,0.7,1.2,16.1,2.5,5.7,8.1,1.9,1,0,1,0
2190,Keith Benson,83,230,Center,135,126,26.8,5.1,9.1,0.5579999999999999,5.0,8.9,0.562,0.1,0.2,0.5579999999999999,3.9,5.7,0.679,0.7,0.5,2.7,14.1,2.5,5.7,8.2,1.4,1,1,0,0
2200,Ben Bentil,80,230,Forward,69,56,27.9,4.7,10.2,0.455,3.8,7.5,0.503,0.9,2.7,0.455,3.6,4.8,0.7609999999999999,0.9,0.6,0.7,13.8,2.5,3.8,6.3,1.6,1,0,1,0
2343,Patrick Beverley,73,180,Guard,70,67,34.1,4.1,9.7,0.42,2.1,4.6,0.463,2.0,5.2,0.42,2.8,3.9,0.73,2.8,1.5,0.4,13.0,1.2,4.4,5.5,2.0,1,0,0,1
2358,Sim Bhullar,89,360,Center,65,50,25.3,4.1,6.4,0.633,4.1,6.4,0.633,0.0,0.0,0.633,2.1,4.2,0.496,1.0,0.1,2.9,10.2,2.6,4.6,7.2,1.6,1,1,0,0
2427,Khem Birch,81,220,Forward,69,53,25.4,3.0,5.7,0.531,3.0,5.7,0.531,0.0,0.0,0.531,2.8,4.2,0.6679999999999999,0.8,0.6,3.1,8.9,3.1,4.7,7.8,1.2,1,0,1,0
2431,Jabari Bird,78,198,Guard,114,80,26.4,3.9,8.9,0.442,2.3,4.5,0.512,1.6,4.4,0.442,1.2,1.6,0.753,1.2,0.5,0.3,10.8,0.8,2.5,3.3,1.2,1,0,0,1
2495,Tarik Black,81,260,Forward,135,75,20.7,3.3,5.3,0.614,3.3,5.3,0.614,0.0,0.0,0.614,1.8,3.3,0.555,0.3,0.6,1.1,8.4,2.0,2.7,4.7,1.2,1,0,1,0
2548,DeJuan Blair,79,265,Forward,72,71,26.6,5.5,9.6,0.568,5.5,9.6,0.568,0.0,0.0,0.568,2.7,4.3,0.614,1.1,1.6,1.0,13.6,4.7,6.0,10.7,1.6,1,0,1,0
2577,Antonio Blakeney,76,186,Guard,64,54,31.8,5.2,11.7,0.444,3.5,6.9,0.51,1.6,4.7,0.444,2.8,3.8,0.736,1.3,0.7,0.1,14.8,0.9,3.2,4.1,1.4,1,0,0,1
2585,Will Blalock,72,205,Guard,93,92,34.3,4.2,10.0,0.421,3.2,7.1,0.445,1.1,2.9,0.421,2.1,2.9,0.7190000000000001,5.0,1.9,0.1,11.6,0.6,2.5,3.1,2.5,1,0,0,1
2608,Eric Bledsoe,73,190,Guard,37,35,30.3,3.9,8.4,0.462,2.6,5.0,0.516,1.3,3.5,0.462,2.2,3.3,0.667,2.9,1.4,0.3,11.3,0.5,2.6,3.1,3.0,1,0,0,1
2653,Vander Blue,76,200,Guard,106,80,25.7,3.3,7.7,0.429,2.8,6.0,0.475,0.5,1.8,0.429,2.1,3.0,0.7040000000000001,2.0,1.0,0.1,9.3,1.0,2.5,3.5,2.0,1,0,0,1
2679,Tony Bobbitt,76,190,Guard,59,1,18.4,3.7,8.8,0.423,1.6,3.0,0.514,2.2,5.7,0.423,1.3,1.6,0.8390000000000001,1.3,1.1,0.1,10.9,0.4,2.3,2.6,0.9,1,0,0,1
2731,Andrew Bogut,84,245,Forward,68,68,32.7,6.6,10.9,0.603,6.4,10.4,0.616,0.2,0.5,0.603,3.2,4.7,0.674,2.3,0.7,1.6,16.6,3.5,7.6,11.1,2.7,1,0,1,0
2770,Joel Bolomboy,81,230,Forward,130,90,28.8,3.8,7.2,0.528,3.5,6.4,0.547,0.3,0.7,0.528,3.6,5.0,0.713,0.7,0.6,1.4,11.4,3.2,6.9,10.1,2.0,1,0,1,0
2821,Devin Booker,80,250,Forward,128,94,24.1,3.5,7.0,0.496,3.3,6.4,0.518,0.2,0.6,0.496,1.9,2.9,0.6579999999999999,0.8,0.6,0.6,9.0,2.1,3.6,5.7,1.6,1,0,1,0
2822,Devin Booker,78,206,Guard,38,0,21.5,3.6,7.6,0.47,2.0,3.8,0.527,1.5,3.7,0.47,1.4,1.7,0.828,1.1,0.4,0.1,10.0,0.4,1.6,2.0,1.0,1,0,0,1
2830,Trevor Booker,79,240,Forward,134,134,28.4,5.1,9.2,0.5589999999999999,5.0,8.6,0.574,0.2,0.5,0.5589999999999999,2.4,3.9,0.624,1.7,1.1,1.9,12.9,3.0,4.9,7.9,1.9,1,0,1,0
2842,Josh Boone,82,237,Center,103,100,25.9,3.7,6.4,0.578,3.7,6.4,0.578,0.0,0.0,0.578,1.9,3.4,0.5589999999999999,0.8,0.5,2.2,9.3,3.1,3.8,7.0,1.3,1,1,0,0
2881,Chris Bosh,82,228,Forward,31,31,31.0,5.4,9.7,0.56,4.7,8.2,0.575,0.7,1.5,0.56,4.1,5.6,0.73,1.2,1.0,2.2,15.6,3.1,5.9,9.0,2.3,1,0,1,0
3071,Craig Brackins,82,230,Forward,96,95,31.8,6.0,13.4,0.445,5.2,10.9,0.48,0.7,2.5,0.445,3.4,4.7,0.726,1.6,0.5,1.0,16.0,1.7,6.0,7.7,2.0,1,0,1,0
3087,Avery Bradley,74,180,Guard,34,32,29.5,4.7,10.8,0.4320000000000001,3.4,7.5,0.457,1.2,3.3,0.4320000000000001,1.1,1.9,0.545,2.1,1.3,0.5,11.6,1.0,1.9,2.9,1.5,1,0,0,1
3100,Michael Bradley,82,250,Center,60,32,16.1,2.0,3.6,0.555,2.0,3.6,0.5579999999999999,0.0,0.0,0.555,1.2,1.5,0.75,0.3,0.2,0.5,5.2,1.5,3.1,4.6,1.1,1,1,0,0
3104,Tony Bradley,82,240,Forward,38,0,14.6,2.7,4.7,0.573,2.7,4.7,0.573,0.0,0.0,0.573,1.7,2.8,0.619,0.6,0.3,0.6,7.1,2.6,2.6,5.1,0.7,1,0,1,0
3238,Corey Brewer,81,185,Forward,108,106,27.2,4.0,8.2,0.48,3.0,5.7,0.536,0.9,2.6,0.48,2.5,3.6,0.708,2.8,1.6,0.4,11.3,1.3,3.0,4.3,2.3,1,0,1,0
3246,Ronnie Brewer,79,220,Guard,90,88,33.0,5.5,11.9,0.462,4.3,8.5,0.511,1.2,3.4,0.462,3.6,5.4,0.6709999999999999,3.3,2.4,0.5,15.7,1.7,3.4,5.0,2.3,1,0,0,1
3349,Jon Brockman,79,255,Forward,131,129,28.7,5.5,10.3,0.534,5.5,10.3,0.534,0.0,0.0,0.534,2.8,4.6,0.612,1.0,0.8,0.1,13.8,3.7,6.1,9.8,2.1,1,0,1,0
3357,Malcolm Brogdon,77,217,Guard,136,109,30.6,4.4,10.3,0.43,3.1,6.6,0.466,1.4,3.7,0.43,3.1,3.5,0.8759999999999999,2.5,0.9,0.2,13.3,0.6,3.5,4.1,1.5,1,0,0,1
3373,Aaron Brooks,72,161,Guard,115,110,32.7,4.3,10.1,0.43,2.6,5.4,0.479,1.8,4.8,0.43,2.7,3.2,0.8340000000000001,4.1,1.1,0.1,13.1,0.7,2.7,3.5,2.6,1,0,0,1
3395,Dillon Brooks,77,205,Forward,109,98,28.9,5.4,11.4,0.472,4.2,8.0,0.518,1.2,3.4,0.472,2.8,3.5,0.794,2.6,0.9,0.5,14.8,1.6,2.9,4.5,2.1,1,0,1,0
3468,Andre Brown,81,245,Forward,107,72,29.0,4.2,8.3,0.502,4.2,8.3,0.503,0.0,0.0,0.502,2.3,4.5,0.523,0.5,0.7,0.7,10.7,3.3,4.7,8.0,1.9,1,0,1,0
3469,Andre Brown,78,210,Forward,12,3,6.5,0.2,0.5,0.333,0.2,0.5,0.333,0.0,0.0,0.333,0.0,0.1,0.0,0.0,0.3,0.0,0.3,0.7,0.4,1.1,0.3,1,0,1,0
3475,Anthony Brown,80,220,Forward,126,100,25.5,3.2,6.1,0.53,3.2,6.1,0.53,0.0,0.0,0.53,3.1,4.8,0.644,1.0,0.5,0.5,9.6,1.7,4.2,6.0,1.7,1,0,1,0
3476,Anthony Brown,73,158,Guard,33,1,2.5,0.1,0.7,0.182,0.1,0.3,0.2,0.1,0.4,0.182,0.2,0.3,0.455,0.4,0.2,0.0,0.5,0.2,0.2,0.3,0.5,1,0,0,1
3478,Anthony Brown,78,215,Guard,144,105,29.2,3.6,8.4,0.428,2.1,4.7,0.448,1.5,3.8,0.428,2.1,2.8,0.7509999999999999,1.6,0.7,0.2,10.8,1.0,3.8,4.8,1.6,1,0,0,1
3479,Anthony Brown,78,225,Forward,47,4,13.1,1.1,2.4,0.482,1.1,2.2,0.505,0.0,0.1,0.482,0.7,1.2,0.569,0.3,0.3,0.4,3.0,1.0,1.3,2.3,0.4,1,0,1,0
3480,Anthony Brown,73,160,Guard,29,5,11.2,0.8,1.8,0.415,0.6,1.4,0.39,0.2,0.4,0.415,0.8,1.2,0.667,0.7,0.5,0.0,2.6,0.2,1.1,1.3,0.7,1,0,0,1
3489,Bobby Brown,74,175,Guard,116,103,34.2,6.0,13.9,0.428,3.3,6.9,0.48,2.6,7.0,0.428,2.3,2.9,0.789,4.4,1.3,0.1,16.9,0.5,2.0,2.5,3.1,1,0,0,1
3490,Bobby Brown,78,195,Guard,117,50,22.2,2.9,7.6,0.38,1.9,4.3,0.435,1.0,3.3,0.38,1.1,1.8,0.649,0.8,0.5,0.5,7.9,1.4,3.5,4.9,1.2,1,0,0,1
3551,Dee Brown,72,185,Guard,137,136,34.3,4.7,11.0,0.422,2.5,5.0,0.498,2.2,6.1,0.422,1.7,2.4,0.725,4.9,1.7,0.1,13.2,0.8,2.5,3.3,2.1,1,0,0,1
